DATA LOGGER INTERVAL @ 30ms
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
0.03,8.185,1.000,-0.039,1.000
0.06,8.215,1.000,0.267,1.000
0.09,8.333,1.000,0.494,1.000
0.12,8.481,1.000,0.671,1.000
0.15,8.620,1.000,0.790,1.000
0.18,8.817,1.000,0.968,1.000
0.21,9.153,1.000,1.165,1.000
0.24,9.321,1.000,1.284,1.000
0.27,9.696,1.000,1.422,1.000
0.30,10.022,1.000,1.570,1.000
0.33,10.140,1.000,1.688,1.000
0.36,10.140,1.000,1.797,1.000
0.39,10.140,1.000,1.896,1.000
0.42,10.140,1.000,2.014,1.000
0.45,10.140,1.000,2.113,1.000
0.48,10.140,1.000,2.212,1.000
0.51,10.140,1.000,2.281,1.000
0.54,10.140,1.000,2.380,1.000
0.57,10.140,1.000,2.468,1.000
0.60,10.140,1.000,2.557,1.000
0.63,10.140,1.000,2.636,1.000
0.66,10.140,1.000,2.715,1.000
0.69,27.508,1.000,2.784,1.000
0.72,27.508,1.000,2.863,1.000
0.75,27.508,1.000,2.932,1.000
0.78,27.597,1.000,2.992,1.000
0.81,27.873,1.000,3.061,1.000
0.84,28.416,1.000,3.120,1.000
0.87,29.028,1.000,3.189,1.000
0.90,29.976,1.000,3.268,1.000
0.93,-9.489,1.000,3.347,1.000
0.96,-8.807,1.000,3.397,1.000
0.99,-8.116,1.000,3.456,1.000
1.02,-7.395,1.000,3.505,1.000
1.05,-6.665,1.000,3.554,1.000
1.08,-5.608,1.000,3.624,1.000
1.11,-4.897,1.000,3.673,1.000
1.14,-4.167,1.000,3.712,1.000
1.17,-3.426,1.000,3.762,1.000
1.20,-2.666,1.000,3.801,1.000
1.23,-1.915,1.000,3.851,1.000
1.26,-1.155,1.000,3.890,1.000
1.29,-0.395,1.000,3.920,1.000
1.32,0.355,1.000,3.959,1.000
1.35,1.501,1.000,4.009,1.000
1.38,2.310,1.000,4.048,1.000
1.41,3.090,1.000,4.078,1.000
1.44,3.880,1.000,4.107,1.000
1.47,4.680,1.000,4.147,1.000
1.50,5.490,1.000,4.177,1.000
1.53,6.319,1.000,4.206,1.000
1.56,7.129,1.000,4.236,1.000
1.59,8.363,1.000,4.265,1.000
1.62,9.232,1.000,4.295,1.000
1.65,10.101,1.000,4.315,1.000
1.68,10.140,1.000,4.344,1.000
1.71,10.140,1.000,4.364,1.000
1.74,10.140,1.000,4.384,1.000
1.77,10.140,1.000,4.404,1.000
1.80,10.140,1.000,4.423,1.000
1.83,10.140,1.000,4.453,1.000
1.86,27.498,1.000,4.453,1.000
1.89,27.547,1.000,4.502,1.000
1.92,27.686,1.000,4.492,1.000
1.95,29.206,1.000,4.542,1.000
1.98,30.075,1.000,4.562,1.000
2.01,-9.439,1.000,4.581,1.000
2.04,-8.511,1.000,4.601,1.000
2.07,-7.573,1.000,4.621,1.000
2.10,-6.645,1.000,4.641,1.000
2.13,-5.737,1.000,4.660,1.000
2.16,-4.808,1.000,4.670,1.000
2.19,-3.446,1.000,4.710,1.000
2.22,-2.528,1.000,4.729,1.000
2.25,-1.590,1.000,4.749,1.000
2.28,-0.701,1.000,4.759,1.000
2.31,0.247,1.000,4.779,1.000
2.34,1.165,1.000,4.799,1.000
2.37,2.133,1.000,4.818,1.000
2.40,3.100,1.000,4.828,1.000
2.43,3.989,1.000,4.838,1.000
2.46,4.927,1.000,4.848,1.000
2.49,5.885,1.000,4.868,1.000
2.52,6.823,1.000,4.878,1.000
2.55,7.771,1.000,4.897,1.000
2.58,8.600,1.000,4.897,1.000
2.61,9.666,1.000,4.907,1.000
2.64,10.140,1.000,4.917,1.000
2.67,10.140,1.000,4.927,1.000
2.70,10.140,1.000,4.937,1.000
2.73,10.140,1.000,4.937,1.000
2.76,10.140,1.000,4.957,1.000
2.79,10.140,1.000,4.957,1.000
2.82,27.508,1.000,4.966,1.000
2.85,27.508,1.000,4.957,1.000
2.88,27.883,1.000,4.966,1.000
2.91,28.782,1.000,4.986,1.000
2.94,29.779,1.000,4.996,1.000
2.97,-9.676,1.000,5.006,1.000
3.00,-8.817,1.000,5.006,1.000
3.03,-7.721,1.000,5.016,1.000
